"","query","pre_id","weight","n","type","xyz"
"33","720575940625508239","720575940607023217",26,1,NA,NA
"34","720575940628217564","720575940636922702",24,1,"v2LN33","(110266.96, 67405.775, 1774)"
"35","720575940628217564","720575940617818192",23,1,NA,NA
"36","720575940628217564","720575940622600684",23,1,NA,NA
"37","720575940625508239","720575940641374318",23,1,"PLP232","(111546.25, 58661.5, 3955)"
"38","720575940637680189","720575940622115080",23,1,"MBON13","127756,73639,1529"
"39","720575940621885879","720575940624449794",22,1,"DP1m_adPN","(100247.975, 33377.4, 4681)"
"40","720575940637680189","720575940614939584",22,1,NA,NA
"41","720575940637680189","720575940639730395",22,1,"LHPV2d1","(95389.9, 49879.87, 4638)"
"42","720575940628217564","720575940616472118",21,1,NA,NA
"43","720575940637680189","720575940628258007",21,1,NA,NA
"44","720575940628217564","720575940622961596",20,1,NA,NA
"45","720575940628217564","720575940637428056",20,1,"v2LN34E","(110784.875, 67964.05, 1774)"
"46","720575940625508239","720575940625121811",20,1,NA,NA
"47","720575940625508239","720575940627051902",20,1,NA,NA
"48","720575940637680189","720575940627751168",20,1,NA,NA
"49","720575940628217564","720575940611099619",19,1,NA,NA
"50","720575940628217564","720575940624439042",19,1,NA,NA
"51","720575940628217564","720575940632368992",19,1,NA,NA
"52","720575940628217564","720575940625236538",18,1,NA,NA
"53","720575940628217564","720575940633039925",18,1,"V_ilPN","(125090.2, 76280.85, 2928)"
"54","720575940625508239","720575940619775612",18,1,NA,NA
"55","720575940621885879","720575940603754016",18,1,"ALBN1_L","136187, 57831, 2058"
"56","720575940637680189","720575940622459891",18,1,"v2LN4","(109837.445, 67010.735, 1774)"
"57","720575940637680189","720575940626797391",18,1,"MBON12","126720,71586,1576"
"58","720575940628217564","720575940620284374",17,1,"PLP077","(140703, 60749.5, 2729)"
"59","720575940628217564","720575940625642517",17,1,NA,NA
"60","720575940637680189","720575940613152991",17,1,NA,NA
"61","720575940637680189","720575940614800443",17,1,"WED081","(122833.805, 60274.5825, 2931)"
"62","720575940628217564","720575940614882333",16,1,NA,NA
"63","720575940628217564","720575940619797765",16,1,NA,NA
"64","720575940628217564","720575940626116880",16,1,"M_l2PNl21","(117496.6325, 66331.25, 2228)"
"65","720575940628217564","720575940631741280",16,1,NA,NA
"66","720575940625508239","720575940618254939",16,1,"LAL051","(149865.5, 58102, 1640.675)"
"67","720575940625508239","720575940637101646",16,1,NA,NA
"68","720575940637680189","720575940652618145",16,1,NA,NA
"69","720575940628217564","720575940625557135",15,1,NA,NA
"70","720575940628217564","720575940632951962",15,1,"MBON12","138675,74140,1317"
"71","720575940625508239","720575940631257828",15,1,NA,NA
"72","720575940625508239","720575940638196688",15,1,"WEDPN6A","(96310.75, 50027.0425, 4671)"
"73","720575940637680189","720575940634388452",15,1,NA,NA
"74","720575940637680189","720575940635743551",15,1,NA,NA
"75","720575940628217564","720575940613152991",14,1,NA,NA
"76","720575940628217564","720575940614134045",14,1,"ALIN3","(97777.21, 48677.515, 4377)"
"77","720575940628217564","720575940617441752",14,1,NA,NA
"78","720575940625508239","720575940618223269",14,1,NA,NA
"79","720575940625508239","720575940622600684",14,1,NA,NA
"80","720575940625508239","720575940627751168",14,1,NA,NA
"81","720575940625508239","720575940634388452",14,1,NA,NA
"82","720575940637680189","720575940630210863",14,1,NA,NA
"83","720575940628217564","720575940610582214",13,1,NA,NA
"84","720575940628217564","720575940619933278",13,1,"ALIN3","(96820.75, 46862.25, 4395)"
"85","720575940628217564","720575940628289111",13,1,NA,NA
"86","720575940628217564","720575940628345740",13,1,NA,NA
"87","720575940625508239","720575940606498313",13,1,NA,NA
"88","720575940625508239","720575940608646128",13,1,"LHPV2a1_c","(94138.47, 44419.59, 4415)"
"89","720575940625508239","720575940619933278",13,1,"ALIN3","(96820.75, 46862.25, 4395)"
"90","720575940625508239","720575940621597365",13,1,NA,NA
"91","720575940625508239","720575940632368992",13,1,NA,NA
"92","720575940637680189","720575940628289111",13,1,NA,NA
"93","720575940637680189","720575940630728800",13,1,NA,NA
"94","720575940628217564","720575940618836245",12,1,NA,NA
"95","720575940625508239","720575940621989373",12,1,NA,NA
"96","720575940625508239","720575940633039925",12,1,"V_ilPN","(125090.2, 76280.85, 2928)"
"97","720575940637680189","720575940617533225",12,1,NA,NA
"98","720575940637680189","720575940639962497",12,1,NA,NA
"99","720575940628217564","720575940608156718",11,1,NA,NA
"100","720575940628217564","720575940624503951",11,1,NA,NA
"101","720575940628217564","720575940624531770",11,1,"VA2_adPN","(120472.8125, 62434.29, 971)"
"102","720575940625508239","720575940610921944",11,1,NA,NA
"103","720575940625508239","720575940613852614",11,1,"V_ilPN","(136550.225, 76397.1875, 2816)"
"104","720575940625508239","720575940614939584",11,1,NA,NA
"105","720575940625508239","720575940626218601",11,1,"LHPV2a1_c","(95366.2575, 48905.0125, 4566)"
"106","720575940625508239","720575940626913127",11,1,NA,NA
"107","720575940625508239","720575940637680189",11,1,NA,NA
"108","720575940625508239","720575940644671617",11,1,NA,NA
"109","720575940625508239","720575940656822913",11,1,NA,NA
"110","720575940637680189","720575940611887656",11,1,NA,NA
"111","720575940637680189","720575940625508239",11,1,"M_spPN5t10","(138529.25, 57316.3175, 3012)"
"112","720575940637680189","720575940626218601",11,1,"LHPV2a1_c","(95366.2575, 48905.0125, 4566)"
"113","720575940637680189","720575940626718208",11,1,NA,NA
"114","720575940637680189","720575940630178351",11,1,NA,NA
"115","720575940637680189","720575940637101646",11,1,NA,NA
"116","720575940628217564","720575940624549763",10,1,NA,NA
"117","720575940628217564","720575940626773147",10,1,NA,NA
"118","720575940628217564","720575940637375859",10,1,NA,NA
"119","720575940625508239","720575940628289111",10,1,NA,NA
"120","720575940625508239","720575940631034208",10,1,NA,NA
"121","720575940625508239","720575940635743551",10,1,NA,NA
"122","720575940625508239","720575940657858433",10,1,NA,NA
"123","720575940621885879","720575940626248522",10,1,NA,NA
"124","720575940621885879","720575940632553879",10,1,"M_adPNm3","(119742.36, 65038.035, 1924)"
"125","720575940637680189","720575940607846690",10,1,NA,NA
"126","720575940637680189","720575940617999809",10,1,NA,NA
"127","720575940637680189","720575940621976078",10,1,NA,NA
"128","720575940637680189","720575940641374318",10,1,"PLP232","(111546.25, 58661.5, 3955)"
"129","720575940628217564","720575940600078204",9,1,NA,NA
"130","720575940628217564","720575940614933533",9,1,NA,NA
"131","720575940628217564","720575940617179013",9,1,NA,NA
"132","720575940628217564","720575940617667625",9,1,NA,NA
"133","720575940628217564","720575940618223269",9,1,NA,NA
"134","720575940628217564","720575940652558241",9,1,"v2LN3A","(114721, 59480.75, 1812)"
"135","720575940625508239","720575940612821727",9,1,NA,NA
"136","720575940625508239","720575940620102988",9,1,NA,NA
"137","720575940625508239","720575940621354692",9,1,"WEDPN10A","(102947.9, 63766.65, 4181)"
"138","720575940621885879","720575940610209285",9,1,NA,NA
"139","720575940637680189","720575940609954776",9,1,NA,NA
"140","720575940637680189","720575940610921944",9,1,NA,NA
"141","720575940637680189","720575940614936768",9,1,NA,NA
"142","720575940637680189","720575940621989373",9,1,NA,NA
"143","720575940637680189","720575940623873978",9,1,NA,NA
"144","720575940637680189","720575940626117392",9,1,NA,NA
"145","720575940637680189","720575940626913127",9,1,NA,NA
"146","720575940637680189","720575940627990773",9,1,NA,NA
"147","720575940637680189","720575940632368992",9,1,NA,NA
"148","720575940637680189","720575940644671617",9,1,NA,NA
"149","720575940628217564","720575940614536489",8,1,NA,NA
"150","720575940628217564","720575940618098473",8,1,NA,NA
"151","720575940628217564","720575940626832427",8,1,"LAL172","(140220.25, 56201.25, 1968.425)"
"152","720575940628217564","720575940629245259",8,1,NA,NA
"153","720575940628217564","720575940637574515",8,1,NA,NA
"154","720575940625508239","720575940609876184",8,1,NA,NA
"155","720575940625508239","720575940613877554",8,1,NA,NA
"156","720575940625508239","720575940617219461",8,1,NA,NA
"157","720575940625508239","720575940622459891",8,1,"v2LN4","(109837.445, 67010.735, 1774)"
"158","720575940625508239","720575940637112509",8,1,NA,NA
"159","720575940625508239","720575940639962497",8,1,NA,NA
"160","720575940621885879","720575940612616354",8,1,"M_l2PNl20","(116346.89, 66924.05, 2106)"
"161","720575940621885879","720575940621392678",8,1,NA,NA
"162","720575940621885879","720575940629237775",8,1,"VA3_adPN","(118122.25, 60278.735, 1334)"
"163","720575940637680189","720575940607907362",8,1,NA,NA
"164","720575940637680189","720575940609975002",8,1,"DN","(126504, 73380, 5801)"
"165","720575940637680189","720575940610185221",8,1,NA,NA
"166","720575940637680189","720575940610211333",8,1,NA,NA
"167","720575940637680189","720575940619989793",8,1,NA,NA
"168","720575940637680189","720575940628915543",8,1,NA,NA
"169","720575940637680189","720575940635593444",8,1,NA,NA
"170","720575940637680189","720575940641398657",8,1,NA,NA
"171","720575940637680189","720575940643267438",8,1,"MBON09","159975,53943,614"
"172","720575940628217564","720575940609565168",7,1,"M_lvPNm41","(117584.1, 62372.7075, 1579)"
"173","720575940628217564","720575940610236339",7,1,"v2LN35","(111213, 68953, 1617)"
"174","720575940628217564","720575940611956689",7,1,NA,NA
"175","720575940628217564","720575940613110498",7,1,NA,NA
"176","720575940628217564","720575940615753985",7,1,NA,NA
"177","720575940628217564","720575940618703981",7,1,NA,NA
"178","720575940628217564","720575940622966204",7,1,NA,NA
"179","720575940628217564","720575940624675727",7,1,NA,NA
"180","720575940628217564","720575940625196681",7,1,NA,NA
"181","720575940628217564","720575940625264186",7,1,NA,NA
"182","720575940628217564","720575940626656155",7,1,NA,NA
"183","720575940628217564","720575940628348044",7,1,NA,NA
"184","720575940628217564","720575940629478954",7,1,"MBON04","126251,24103,1617"
"185","720575940628217564","720575940637112509",7,1,NA,NA
"186","720575940625508239","720575940568254906",7,1,NA,NA
"187","720575940625508239","720575940607907362",7,1,NA,NA
"188","720575940625508239","720575940609115602",7,1,NA,NA
"189","720575940625508239","720575940614800443",7,1,"WED081","(122833.805, 60274.5825, 2931)"
"190","720575940625508239","720575940619170800",7,1,NA,NA
"191","720575940625508239","720575940619466422",7,1,NA,NA
"192","720575940625508239","720575940622083069",7,1,NA,NA
"193","720575940625508239","720575940635793471",7,1,NA,NA
"194","720575940621885879","720575940614141725",7,1,"M_lvPNm24","(120004.1325, 62719.735, 2080)"
"195","720575940621885879","720575940620071804",7,1,NA,NA
"196","720575940621885879","720575940626570768",7,1,"VA6_adPN","(115491.2575, 59892.3875, 1175)"
"197","720575940621885879","720575940644439331",7,1,"mALB1_L","101141, 38759, 3833"
"198","720575940637680189","720575940607023217",7,1,NA,NA
"199","720575940637680189","720575940609876184",7,1,NA,NA
"200","720575940637680189","720575940614710569",7,1,NA,NA
"201","720575940637680189","720575940616803517",7,1,NA,NA
"202","720575940637680189","720575940618596955",7,1,NA,NA
"203","720575940637680189","720575940619761140",7,1,"MBON20","149540,73840,1354"
"204","720575940637680189","720575940623989118",7,1,NA,NA
"205","720575940637680189","720575940628504663",7,1,"LAL183","(137684.5, 57391.5675, 3349)"
"206","720575940637680189","720575940639230849",7,1,NA,NA
"207","720575940637680189","720575940657858433",7,1,NA,NA
"208","720575940628217564","720575940609321166",6,1,"DM4_adPN","(108520.75, 32098, 4699)"
"209","720575940628217564","720575940620094633",6,1,NA,NA
"210","720575940628217564","720575940621192959",6,1,NA,NA
"211","720575940628217564","720575940622078793",6,1,NA,NA
"212","720575940628217564","720575940624449794",6,1,"DP1m_adPN","(100247.975, 33377.4, 4681)"
"213","720575940628217564","720575940625527692",6,1,NA,NA
"214","720575940628217564","720575940632633333",6,1,NA,NA
"215","720575940628217564","720575940641817288",6,1,"M_l2PNm16","(117096.085, 63379.325, 1820)"
"216","720575940625508239","720575940605949805",6,1,NA,NA
"217","720575940625508239","720575940606481419",6,1,NA,NA
"218","720575940625508239","720575940607846690",6,1,NA,NA
"219","720575940625508239","720575940610211333",6,1,NA,NA
"220","720575940625508239","720575940613152991",6,1,NA,NA
"221","720575940625508239","720575940617817643",6,1,NA,NA
"222","720575940625508239","720575940617999809",6,1,NA,NA
"223","720575940625508239","720575940628258007",6,1,NA,NA
"224","720575940625508239","720575940628793285",6,1,NA,NA
"225","720575940625508239","720575940631357429",6,1,NA,NA
"226","720575940625508239","720575940632564671",6,1,NA,NA
"227","720575940625508239","720575940652618145",6,1,NA,NA
"228","720575940621885879","720575940642714916",6,1,"ALIN1","(129337.525, 40264.87, 3862)"
"229","720575940637680189","720575940592627899",6,1,NA,NA
"230","720575940637680189","720575940606118625",6,1,NA,NA
"231","720575940637680189","720575940609115602",6,1,NA,NA
"232","720575940637680189","720575940614432285",6,1,NA,NA
"233","720575940637680189","720575940616624182",6,1,NA,NA
"234","720575940637680189","720575940618254939",6,1,"LAL051","(149865.5, 58102, 1640.675)"
"235","720575940637680189","720575940620498580",6,1,NA,NA
"236","720575940637680189","720575940622600684",6,1,NA,NA
"237","720575940637680189","720575940624439042",6,1,NA,NA
"238","720575940637680189","720575940627590266",6,1,NA,NA
"239","720575940637680189","720575940629245259",6,1,NA,NA
"240","720575940637680189","720575940630251823",6,1,NA,NA
"241","720575940637680189","720575940631421412",6,1,NA,NA
"242","720575940637680189","720575940634685299",6,1,NA,NA
